,x
1.3X10x7,3
1.3X11x7,3
1.3X12x7,3
1.3X13x7,5
1.3X14x7,3
1.3X15x7,3
1.3X16x7,3
1.3X17x7,3
1.3X18x7,3
1.3X19x7,0
1.3X20x7,1
1.3X21x7,1
1.3X22x7,2
1.3X23x7,2
1.3X24x7,0
1.3X25x7,7
1.3X26x7,7
1.3X27x7,0
1.3X28x7,0
1.3X29x7,7
1.3X2x7,5
1.3X30x7,7
1.3X31x7,7
1.3X32x7,1
1.3X3x7,5
1.3X4x7,2
1.3X5x7,3
1.3X6x7,1
1.3X7x7,3
1.3X8x7,3
1.3X9x7,5
1.3X10x8,3
1.3X11x8,3
1.3X12x8,3
1.3X13x8,3
1.3X14x8,5
1.3X15x8,2
1.3X16x8,5
1.3X17x8,1
1.3X18x8,1
1.3X19x8,3
1.3X20x8,3
1.3X21x8,5
1.3X22x8,0
1.3X23x8,0
1.3X24x8,1
1.3X25x8,7
1.3X26x8,7
1.3X27x8,3
1.3X28x8,7
1.3X29x8,7
1.3X2x8,5
1.3X30x8,7
1.3X31x8,7
1.3X32x8,7
1.3X3x8,5
1.3X4x8,1
1.3X5x8,5
1.3X6x8,1
1.3X7x8,1
1.3X8x8,1
1.3X9x8,5
1.3X10x9,4
1.3X11x9,2
1.3X12x9,5
1.3X13x9,3
1.3X14x9,3
1.3X15x9,3
1.3X16x9,3
1.3X17x9,3
1.3X18x9,3
1.3X19x9,3
1.3X20x9,1
1.3X21x9,1
1.3X22x9,0
1.3X23x9,0
1.3X24x9,0
1.3X25x9,2
1.3X26x9,0
1.3X27x9,2
1.3X28x9,0
1.3X29x9,7
1.3X2x9,2
1.3X30x9,7
1.3X31x9,7
1.3X32x9,7
1.3X3x9,5
1.3X4x9,5
1.3X5x9,2
1.3X6x9,1
1.3X7x9,1
1.3X8x9,1
1.3X9x9,3
2.4X18x10,1
2.4X19x10,4
2.4X20x10,3
2.4X21x10,3
2.4X22x10,1
2.4X23x10,0
2.4X24x10,4
2.4X25x10,1
2.4X26x10,7
2.4X27x10,2
2.4X28x10,2
2.4X29x10,4
2.4X30x10,2
2.4X31x10,4
2.4X32x10,1
2.4X17x11,6
2.4X18x11,1
2.4X19x11,2
2.4X20x11,3
2.4X21x11,4
2.4X22x11,4
2.4X23x11,4
2.4X24x11,4
2.4X25x11,2
2.4X26x11,4
2.4X27x11,2
2.4X28x11,1
2.4X29x11,0
2.4X30x11,4
2.4X31x11,4
2.4X32x11,1
2.4X16x12,3
2.4X17x12,6
2.4X18x12,4
2.4X19x12,4
2.4X20x12,3
2.4X21x12,4
2.4X22x12,2
2.4X23x12,0
2.4X24x12,4
2.4X25x12,1
2.4X26x12,1
2.4X27x12,2
2.4X28x12,0
2.4X29x12,2
2.4X30x12,1
2.4X31x12,0
2.4X32x12,7
2.4X15x13,4
2.4X16x13,6
2.4X17x13,1
2.4X18x13,2
2.4X19x13,4
2.4X20x13,3
2.4X21x13,4
2.4X22x13,3
2.4X23x13,1
2.4X24x13,2
2.4X25x13,1
2.4X26x13,0
2.4X27x13,2
2.4X28x13,0
2.4X29x13,4
2.4X30x13,1
2.4X31x13,1
2.4X32x13,0
2.4X14x14,4
2.4X15x14,3
2.4X16x14,6
2.4X17x14,6
2.4X18x14,6
2.4X19x14,2
2.4X20x14,4
2.4X21x14,4
2.4X22x14,0
2.4X23x14,3
2.4X24x14,2
2.4X25x14,4
2.4X26x14,0
2.4X27x14,1
2.4X28x14,1
2.4X29x14,1
2.4X30x14,4
2.4X31x14,7
2.4X32x14,0
2.4X14x15,6
2.4X15x15,4
2.4X16x15,6
2.4X17x15,4
2.4X18x15,6
2.4X19x15,6
2.4X20x15,2
2.4X21x15,4
2.4X22x15,0
2.4X23x15,0
2.4X24x15,0
2.4X25x15,2
2.4X26x15,0
2.4X27x15,1
2.4X28x15,2
2.4X29x15,1
2.4X30x15,4
2.4X31x15,1
2.4X32x15,4
2.4X13x16,4
2.4X14x16,6
2.4X15x16,6
2.4X16x16,6
2.4X17x16,6
2.4X18x16,3
2.4X19x16,0
2.4X20x16,1
2.4X21x16,4
2.4X22x16,0
2.4X23x16,0
2.4X24x16,0
2.4X25x16,4
2.4X26x16,0
2.4X28x16,1
2.4X29x16,1
2.4X30x16,1
2.4X31x16,2
2.4X32x16,1
2.4X12x17,4
2.4X13x17,3
2.4X14x17,6
2.4X15x17,6
2.4X16x17,6
2.4X17x17,6
2.4X18x17,1
2.4X19x17,4
2.4X20x17,2
2.4X21x17,4
2.4X22x17,2
2.4X23x17,4
2.4X24x17,2
2.4X25x17,4
2.4X26x17,2
2.4X27x17,1
2.4X28x17,0
2.4X29x17,1
2.4X30x17,1
2.4X31x17,1
2.4X32x17,3
2.4X12x18,3
2.4X13x18,6
2.4X14x18,6
2.4X15x18,6
2.4X16x18,6
2.4X17x18,6
2.4X18x18,2
2.4X19x18,0
2.4X20x18,4
2.4X21x18,4
2.4X22x18,1
2.4X23x18,1
2.4X24x18,4
2.4X25x18,4
2.4X26x18,2
2.4X27x18,7
2.4X28x18,1
2.4X29x18,1
2.4X30x18,1
2.4X31x18,2
2.4X32x18,1
2.4X12x19,6
2.4X13x19,6
2.4X14x19,4
2.4X15x19,3
2.4X16x19,2
2.4X17x19,2
2.4X18x19,3
2.4X19x19,6
2.4X20x19,4
2.4X21x19,3
2.4X22x19,4
2.4X23x19,4
2.4X24x19,4
2.4X25x19,1
2.4X26x19,2
2.4X27x19,1
2.4X28x19,4
2.4X29x19,1
2.4X30x19,2
2.4X31x19,1
2.4X32x19,2
2.4X12x20,2
2.4X13x20,6
2.4X14x20,6
2.4X15x20,3
2.4X16x20,3
2.4X17x20,3
2.4X18x20,4
2.4X19x20,4
2.4X20x20,4
2.4X21x20,4
2.4X22x20,1
2.4X23x20,3
2.4X24x20,0
2.4X25x20,2
2.4X26x20,1
2.4X27x20,4
2.4X28x20,4
2.4X29x20,4
2.4X30x20,1
2.4X31x20,2
2.4X32x20,2
2.4X11x21,4
2.4X12x21,0
2.4X13x21,4
2.4X14x21,4
2.4X15x21,3
2.4X16x21,3
2.4X17x21,6
2.4X18x21,6
2.4X20x21,6
2.4X21x21,4
2.4X22x21,2
2.4X23x21,1
2.4X24x21,2
2.4X25x21,4
2.4X26x21,4
2.4X27x21,4
2.4X28x21,1
2.4X29x21,3
2.4X30x21,3
2.4X31x21,4
2.4X32x21,4
2.4X11x22,4
2.4X12x22,2
2.4X13x22,4
2.4X14x22,4
2.4X16x22,3
2.4X17x22,6
2.4X18x22,6
2.4X19x22,3
2.4X20x22,6
2.4X21x22,4
2.4X22x22,1
2.4X23x22,2
2.4X24x22,4
2.4X25x22,4
2.4X26x22,2
2.4X27x22,4
2.4X28x22,4
2.4X29x22,4
2.4X30x22,4
2.4X11x23,2
2.4X12x23,3
2.4X13x23,2
2.4X14x23,4
2.4X15x23,4
2.4X16x23,4
2.4X17x23,3
2.4X18x23,4
2.4X19x23,6
2.4X20x23,3
2.4X21x23,3
2.4X22x23,1
2.4X23x23,3
2.4X24x23,4
2.4X25x23,4
2.4X26x23,2
2.4X27x23,1
2.4X10x24,4
2.4X11x24,4
2.4X12x24,4
2.4X13x24,4
2.4X14x24,4
2.4X15x24,4
2.4X16x24,3
2.4X17x24,4
2.4X18x24,4
2.4X19x24,4
2.4X20x24,4
2.4X21x24,3
2.4X22x24,3
2.4X23x24,4
2.4X24x24,2
2.4X25x24,2
2.4X26x24,2
2.4X11x25,4
2.4X12x25,4
2.4X13x25,1
2.4X14x25,4
2.4X15x25,4
2.4X16x25,6
2.4X17x25,4
2.4X18x25,3
2.4X19x25,6
2.4X20x25,1
2.4X21x25,4
2.4X22x25,3
2.4X23x25,2
2.4X24x25,4
2.4X25x25,4
2.4X13x26,4
2.4X14x26,2
2.4X15x26,3
2.4X16x26,3
2.4X17x26,2
2.4X18x26,1
2.4X19x26,3
2.4X20x26,7
2.4X21x26,3
2.4X22x26,1
2.4X23x26,4
2.4X24x26,2
2.4X16x27,4
2.4X17x27,4
2.4X18x27,2
2.4X19x27,4
2.4X20x27,3
2.4X21x27,2
2.4X22x27,4
2.4X18x28,4
2.4X19x28,3
2.4X20x28,4
2.4X21x28,4
2.4X22x28,4
2.4X20x2,2
2.4X21x2,0
2.4X22x2,7
2.4X23x2,0
2.4X24x2,7
2.4X25x2,0
2.4X26x2,2
2.4X27x2,1
2.4X28x2,7
2.4X29x2,1
2.4X30x2,1
2.4X31x2,1
2.4X32x2,1
2.4X19x3,4
2.4X20x3,4
2.4X21x3,7
2.4X22x3,4
2.4X23x3,0
2.4X24x3,0
2.4X25x3,1
2.4X26x3,2
2.4X27x3,0
2.4X28x3,0
2.4X29x3,0
2.4X30x3,2
2.4X31x3,1
2.4X32x3,7
2.4X19x4,4
2.4X20x4,0
2.4X21x4,0
2.4X22x4,0
2.4X24x4,1
2.4X25x4,4
2.4X26x4,1
2.4X27x4,0
2.4X28x4,0
2.4X29x4,0
2.4X30x4,4
2.4X31x4,0
2.4X32x4,1
2.4X19x5,0
2.4X20x5,0
2.4X21x5,0
2.4X22x5,1
2.4X23x5,0
2.4X24x5,1
2.4X25x5,0
