	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
18x7	70	176	634	70	55	99	53	202	91	165
16x27	327	138	310	78	64	146	213	403	90	173
21x10	150	406	2098	138	127	185	170	514	201	257
17x26	261	139	648	88	104	107	128	112	78	96
23x4	0	0	0	1	0	0	0	0	0	0
24x26	223	120	520	99	54	60	92	66	31	55
11x24	202	208	1202	156	245	208	154	1801	150	153
26x16	929	577	478	331	171	198	149	216	293	214
19x25	556	674	173	298	212	3078	288	201	220	260
20x18	153	265	1609	243	182	409	75	316	164	97
16x18	192	204	217	295	214	1209	323	3392	223	149
21x19	268	264	2365	215	409	319	140	573	363	207
17x19	83	55	106	37	25	78	18	227	14	35
32x21	551	139	576	116	53	94	104	217	148	127
22x24	1038	301	1397	313	386	329	551	1557	531	524
18x24	225	223	1594	156	167	157	179	202	150	1932
32x11	4442	272	2769	216	316	188	235	289	947	215
14x20	152	170	286	109	136	715	104	583	121	92
15x17	162	253	143	146	327	6527	162	219	125	139
24x7	338	402	1391	308	234	323	216	321	258	7942
12x26	54	83	151	80	66	48	40	42	29	51
27x18	1874	233	3020	247	344	241	345	413	288	242
25x6	141	179	141	159	125	90	71	101	67	107
28x21	823	273	1425	155	199	183	193	482	213	182
26x5	1034	448	593	6361	608	440	587	445	451	1155
27x8	332	232	254	257	115	109	91	87	103	102
